emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
10013,Human Resources,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10068,Sales,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Staff
10111,Quality Management,Hugo,Rosis,1963-08-29,1988-12-19,9999-01-01,Engineer
10133,Production,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Senior Engineer
10147,Finance,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10168,Research,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Staff
10181,Development,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10190,Production,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Engineer
10214,Sales,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10222,Production,Tze,Nourani,1962-09-21,1986-06-08,9999-01-01,Assistant Engineer
10242,Production,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Senior Engineer
10271,Development,Sham,Eastman,1962-04-24,1986-05-23,9999-01-01,Engineer
10273,Sales,Baocai,Lieblein,1962-08-29,1985-11-06,9999-01-01,Staff
10277,Sales,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Staff
10291,Sales,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Staff
10301,Finance,Lucien,Staudhammer,1962-08-26,1988-05-23,9999-01-01,Staff
10436,Human Resources,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10474,Production,Kenton,Garnham,1962-02-24,1987-02-21,9999-01-01,Engineer
10476,Research,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10501,Development,Susuma,Larfeldt,1962-09-09,1988-09-08,9999-01-01,Engineer
10526,Production,Kwangho,Theuretzbacher,1963-12-31,1988-02-27,9999-01-01,Senior Engineer
10536,Sales,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10551,Quality Management,Jeong,Rijsenbrij,1963-10-07,1988-08-06,9999-01-01,Engineer
10569,Research,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10571,Development,Fun,Varman,1963-12-10,1985-02-24,9999-01-01,Senior Engineer
10590,Research,Yongqiao,Kalloufi,1963-10-01,1986-04-09,9999-01-01,Staff
10606,Development,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Engineer
10648,Development,Marlo,Ratnaker,1962-01-19,1988-02-16,9999-01-01,Engineer
10656,Production,Sanjay,Litzkow,1962-06-18,1988-06-21,9999-01-01,Engineer
10670,Sales,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Senior Staff
10686,Development,Avishai,Azadmanesh,1963-05-25,1987-05-17,9999-01-01,Senior Engineer
10688,Finance,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10699,Quality Management,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Engineer
10716,Development,Aiman,Constantine,1963-10-08,1987-08-12,9999-01-01,Engineer
10735,Customer Service,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10763,Production,Giap,Bolsens,1962-04-15,1987-02-23,9999-01-01,Engineer
10809,Development,Shim,Feldhoffer,1962-01-06,1988-02-25,9999-01-01,Engineer
10832,Sales,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10863,Production,Byong,Bhattacharjee,1962-08-05,1985-12-25,9999-01-01,Senior Engineer
10877,Marketing,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10907,Human Resources,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Senior Staff
10978,Production,Huiqun,Bellone,1962-09-24,1985-05-18,9999-01-01,Engineer
11010,Finance,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Senior Staff
11036,Finance,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Senior Staff
11058,Research,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11059,Development,Shawna,Jarecki,1962-05-26,1986-11-17,9999-01-01,Engineer
11109,Sales,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Staff
11149,Sales,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11198,Sales,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Staff
11261,Production,Claudi,Demri,1963-09-05,1987-12-06,9999-01-01,Senior Engineer
11264,Development,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11283,Finance,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11286,Sales,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11287,Marketing,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11313,Marketing,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Sales,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Staff
11362,Production,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Senior Engineer
11363,Finance,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Staff
11394,Customer Service,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11435,Marketing,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Senior Staff
11486,Sales,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Staff
11488,Quality Management,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Engineer
11512,Development,Nidapan,Hagimont,1962-09-24,1987-09-01,9999-01-01,Senior Engineer
11545,Quality Management,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11546,Sales,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11551,Development,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11565,Development,Yoshinari,Sankaranarayanan,1963-09-02,1988-02-03,9999-01-01,Engineer
11610,Production,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Senior Engineer
11639,Development,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Engineer
11670,Human Resources,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11682,Human Resources,Dante,Zumaque,1963-03-13,1986-11-27,9999-01-01,Senior Staff
11757,Development,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11766,Development,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Senior Engineer
